modelo,fpr,tpr,umbral
Baseline mayoritaria,0.0,0.0,inf
Baseline mayoritaria,1.0,1.0,0.0
Naive Bayes complementario,0.0,0.0,inf
Naive Bayes complementario,0.0,0.0030581039755351682,0.9999427455447336
Naive Bayes complementario,0.0,0.0045871559633027525,0.9999388016225317
Naive Bayes complementario,0.0,0.012232415902140673,0.9999027542969268
Naive Bayes complementario,0.0,0.01529051987767584,0.999817308045294
Naive Bayes complementario,0.0,0.022935779816513763,0.9998100229725971
Naive Bayes complementario,0.0,0.03363914373088685,0.9997864263965095
Naive Bayes complementario,0.0,0.03669724770642202,0.9997495028623355
Naive Bayes complementario,0.0,0.039755351681957186,0.999683156992269
Naive Bayes complementario,0.0,0.04434250764525994,0.9996760331623711
Naive Bayes complementario,0.0,0.047400611620795105,0.999662938609026
Naive Bayes complementario,0.0,0.053516819571865444,0.9996586133553655
Naive Bayes complementario,0.0,0.05657492354740061,0.9996531463220107
Naive Bayes complementario,0.0,0.05963302752293578,0.9995858268918426
Naive Bayes complementario,0.0,0.06269113149847094,0.999550426721524
Naive Bayes complementario,0.0,0.0672782874617737,0.9994632876954922
Naive Bayes complementario,0.0,0.07186544342507645,0.9993854009281247
Naive Bayes complementario,0.0,0.0779816513761468,0.9992726831224408
Naive Bayes complementario,0.0,0.08103975535168195,0.999229749146343
Naive Bayes complementario,0.0,0.08409785932721713,0.999169689187441
Naive Bayes complementario,0.0,0.0871559633027523,0.9991696525535666
Naive Bayes complementario,0.0,0.09327217125382263,0.9988028714380067
Naive Bayes complementario,0.0,0.09785932721712538,0.9986175769434436
Naive Bayes complementario,0.0,0.11009174311926606,0.9976731050403141
Naive Bayes complementario,0.0,0.12232415902140673,0.9976507026151166
Naive Bayes complementario,0.0,0.12538226299694188,0.9975542178876164
Naive Bayes complementario,0.0,0.1452599388379205,0.9947798511903043
Naive Bayes complementario,0.0,0.14831804281345565,0.994738939066121
Naive Bayes complementario,0.0,0.1636085626911315,0.9934156152309109
Naive Bayes complementario,0.0,0.16819571865443425,0.9933724924581725
Naive Bayes complementario,0.0,0.1926605504587156,0.9885638106199254
Naive Bayes complementario,0.0011507479861910242,0.1926605504587156,0.9876204239118875
Naive Bayes complementario,0.0011507479861910242,0.19571865443425077,0.9873104921585085
Naive Bayes complementario,0.0011507479861910242,0.21712538226299694,0.9786491828074884
Naive Bayes complementario,0.0023014959723820483,0.21865443425076453,0.9786417170248983
Naive Bayes complementario,0.0023014959723820483,0.22629969418960244,0.9757868849086317
Naive Bayes complementario,0.0034522439585730723,0.22629969418960244,0.9750064539332881
Naive Bayes complementario,0.0034522439585730723,0.2415902140672783,0.970311890688969
Naive Bayes complementario,0.004602991944764097,0.2415902140672783,0.9699830628647784
Naive Bayes complementario,0.004602991944764097,0.24617737003058104,0.9688799079959479
Naive Bayes complementario,0.004602991944764097,0.25229357798165136,0.9685093963878378
Naive Bayes complementario,0.004602991944764097,0.25688073394495414,0.9665941906241823
Naive Bayes complementario,0.005753739930955121,0.25688073394495414,0.9664396432775674
Naive Bayes complementario,0.005753739930955121,0.2599388379204893,0.9663480868127762
Naive Bayes complementario,0.005753739930955121,0.28440366972477066,0.9562102890153624
Naive Bayes complementario,0.006904487917146145,0.28593272171253825,0.9554689488375012
Naive Bayes complementario,0.006904487917146145,0.3287461773700306,0.9423136502142928
Naive Bayes complementario,0.00805523590333717,0.3287461773700306,0.9415128967048058
Naive Bayes complementario,0.00805523590333717,0.36850152905198774,0.9141115619400818
Naive Bayes complementario,0.009205983889528193,0.36850152905198774,0.9124000339521763
Naive Bayes complementario,0.009205983889528193,0.39602446483180426,0.8913497341989569
